file_name,dataset_number,dataset_name,source_id,cell_unid,retina_id,animal_id,side,charge_stim_mean,charge_stim_sem,charge_tail_mean,charge_tail_sem,holding_current_mean,holding_voltage,mean_traces,n_epochs_per_size,peak_stim_mean,peak_stim_sem,peak_tail_mean,peak_tail_sem,pre_time_ms,sample_rate,spot_sizes,stim_time_ms,tail_time_ms,cell_name,cell_type,orientation,cell_number,x,y,quadrant
020526A,3,SpotsMultiSize_Whole_cell_Current_clamp_Exc,11,11041,1,4274,Left,-112.917656724306,6.06119473468858,-0.401063663004452,5.98888549119868,-367.798,-60,-367.397766569787,3,-295.494603982954,8.52818286941299,-170.93602135992,12.6054968689936,500,50000,59,1000,1000,020526Ac3,ON alpha,ventral down,3,2347,-1620,VN
020526A,3,SpotsMultiSize_Whole_cell_Current_clamp_Exc,11,11041,1,4274,Left,-181.940514596165,3.8049588889751,-9.73363325055108,6.79250784953911,-367.798,-60,-359.239855535294,3,-440.469554438264,19.2381877007484,-241.115627496071,13.1279619207777,500,50000,82,1000,1000,020526Ac3,ON alpha,ventral down,3,2347,-1620,VN
020526A,3,SpotsMultiSize_Whole_cell_Current_clamp_Exc,11,11041,1,4274,Left,-271.81236204595,10.6983895348522,-9.25345885193618,3.9569394302243,-367.798,-60,-354.087489228268,3,-574.778451491048,27.8202046130449,-355.931239527359,59.0752299342683,500,50000,115,1000,1000,020526Ac3,ON alpha,ventral down,3,2347,-1620,VN
020526A,3,SpotsMultiSize_Whole_cell_Current_clamp_Exc,11,11041,1,4274,Left,-490.207776596579,17.6779159149426,-15.3861871527887,3.80621279603326,-367.798,-60,-370.059825203143,3,-997.985087158836,43.2588242097451,-610.225134854207,21.9478952845594,500,50000,160,1000,1000,020526Ac3,ON alpha,ventral down,3,2347,-1620,VN
020526A,3,SpotsMultiSize_Whole_cell_Current_clamp_Exc,11,11041,1,4274,Left,-674.96982399611,21.6358087041781,-26.6334962798996,7.73945068105765,-367.798,-60,-373.580606379442,3,-1393.35733914397,40.7255523964367,-802.549550006184,59.0193352860588,500,50000,224,1000,1000,020526Ac3,ON alpha,ventral down,3,2347,-1620,VN
020526A,3,SpotsMultiSize_Whole_cell_Current_clamp_Exc,11,11041,1,4274,Left,-748.677530118068,10.3689900426883,-25.4552959553018,1.52109111321853,-367.798,-60,-354.860343397076,3,-1742.7869707132,51.4823445354942,-911.404335971023,34.1278895184934,500,50000,314,1000,1000,020526Ac3,ON alpha,ventral down,3,2347,-1620,VN
020526A,3,SpotsMultiSize_Whole_cell_Current_clamp_Exc,11,11041,1,4274,Left,-735.328170872814,10.7121767625149,-37.8055465014723,10.4784868925079,-367.798,-60,-380.02106204621,3,-1768.18389307993,46.3553598780892,-911.125070636681,56.558680877419,500,50000,439,1000,1000,020526Ac3,ON alpha,ventral down,3,2347,-1620,VN
020526A,3,SpotsMultiSize_Whole_cell_Current_clamp_Exc,11,11041,1,4274,Left,-687.18215711914,31.7883642022979,-59.9947762886027,19.6306065786815,-367.798,-60,-382.425500060454,3,-1761.4747439546,71.2713947737906,-807.250560109731,31.1163133255807,500,50000,614,1000,1000,020526Ac3,ON alpha,ventral down,3,2347,-1620,VN
020526A,3,SpotsMultiSize_Whole_cell_Current_clamp_Exc,11,11041,1,4274,Left,-582.687868911026,14.8872519867961,-64.4066531367662,8.98661073996833,-367.798,-60,-357.865890954734,3,-1640.92819993648,62.8439637969029,-681.423399379692,30.0128159750404,500,50000,858,1000,1000,020526Ac3,ON alpha,ventral down,3,2347,-1620,VN
020526A,3,SpotsMultiSize_Whole_cell_Current_clamp_Exc,11,11041,1,4274,Left,-550.448397664793,22.7413228974842,-44.8519693546753,16.5203197752581,-367.798,-60,-390.111113019345,3,-1557.11692655079,38.2401838002632,-596.195551510494,66.8133707908503,500,50000,1200,1000,1000,020526Ac3,ON alpha,ventral down,3,2347,-1620,VN
031120A,4,SpotsMultiSize_PreDrug_-60mV,2,4243,1,2410,Left,-25.1087291666662,7.2143154548172,-8.59226041666656,5.04346158002051,-8.43823,-60,6.35416666666667,3,-155.983979166667,39.0559259909731,-91.4006458333333,25.561398271121,500,10000,30,1000,1000,031120Ac2,ON alpha,ventral down,2,1682,251,DN
031120A,4,SpotsMultiSize_PreDrug_-60mV,2,4243,1,2410,Left,-53.2613749999993,14.0174076155228,-6.94215624999989,4.16344270369761,-8.43823,-60,9.0625,3,-201.968875,41.7731759904149,-109.260541666667,30.6992032573072,500,10000,42,1000,1000,031120Ac2,ON alpha,ventral down,2,1682,251,DN
031120A,4,SpotsMultiSize_PreDrug_-60mV,2,4243,1,2410,Left,-66.1219270833345,9.83888405223223,-2.77898958333363,5.40699823657636,-8.43823,-60,-15,3,-249.897666666667,23.5624574417857,-98.1268333333334,20.7409982901249,500,10000,59,1000,1000,031120Ac2,ON alpha,ventral down,2,1682,251,DN
